date,time,meter_ID,meter_value
2024-06-01,01:30,111-111-111,711.354
2024-06-01,01:30,333-333-333,692.018
2024-06-01,01:30,666-666-666,693.918
2024-06-01,02:00,111-111-111,711.8
2024-06-01,02:00,333-333-333,692.095
2024-06-01,02:00,666-666-666,694.544
2024-06-01,02:30,111-111-111,712.346
2024-06-01,02:30,333-333-333,692.19
2024-06-01,02:30,666-666-666,694.856
2024-06-01,03:00,111-111-111,712.639
2024-06-01,03:00,333-333-333,692.653
2024-06-01,03:00,666-666-666,695.238
2024-06-01,03:30,111-111-111,712.925
2024-06-01,03:30,333-333-333,693.531
2024-06-01,03:30,666-666-666,695.971
2024-06-01,04:00,111-111-111,713.71
2024-06-01,04:00,333-333-333,694.449
2024-06-01,04:00,666-666-666,696.918
2024-06-01,04:30,111-111-111,713.925
2024-06-01,04:30,333-333-333,695.075
2024-06-01,04:30,666-666-666,697.561
2024-06-01,05:00,111-111-111,714.013
2024-06-01,05:00,333-333-333,695.225
2024-06-01,05:00,666-666-666,698.143
2024-06-01,05:30,111-111-111,714.257
2024-06-01,05:30,333-333-333,695.624
2024-06-01,05:30,666-666-666,698.352
2024-06-01,06:00,111-111-111,714.957
2024-06-01,06:00,333-333-333,695.663
2024-06-01,06:00,666-666-666,698.384
2024-06-01,06:30,111-111-111,715.59
2024-06-01,06:30,333-333-333,695.7
2024-06-01,06:30,666-666-666,698.545
2024-06-01,07:00,111-111-111,716.214
2024-06-01,07:00,333-333-333,696.651
2024-06-01,07:00,666-666-666,698.952
2024-06-01,07:30,111-111-111,716.25
2024-06-01,07:30,333-333-333,697.238
2024-06-01,07:30,666-666-666,699.267
2024-06-01,08:00,111-111-111,717.24
2024-06-01,08:00,333-333-333,698.044
2024-06-01,08:00,666-666-666,699.693
2024-06-01,08:30,111-111-111,718.063
2024-06-01,08:30,333-333-333,698.582
2024-06-01,08:30,666-666-666,699.859
2024-06-01,09:00,111-111-111,718.511
2024-06-01,09:00,333-333-333,698.97
2024-06-01,09:00,666-666-666,699.959
2024-06-01,09:30,111-111-111,719.469
2024-06-01,09:30,333-333-333,699.287
2024-06-01,09:30,666-666-666,700.457
2024-06-01,10:00,111-111-111,719.865
2024-06-01,10:00,333-333-333,699.817
2024-06-01,10:00,666-666-666,701.257
2024-06-01,10:30,111-111-111,720.341
