date,time,meter_ID,meter_value
2024-07-10,01:30,111-111-111,1601.592
2024-07-10,01:30,333-333-333,1584.047
2024-07-10,01:30,666-666-666,1566.571
2024-07-10,02:00,111-111-111,1602.22
2024-07-10,02:00,333-333-333,1584.834
2024-07-10,02:00,666-666-666,1567.362
2024-07-10,02:30,111-111-111,1603.139
2024-07-10,02:30,333-333-333,1585.792
2024-07-10,02:30,666-666-666,1568.208
2024-07-10,03:00,111-111-111,1603.471
2024-07-10,03:00,333-333-333,1586.78
2024-07-10,03:00,666-666-666,1569.112
2024-07-10,03:30,111-111-111,1603.994
2024-07-10,03:30,333-333-333,1586.82
2024-07-10,03:30,666-666-666,1570.047
2024-07-10,04:00,111-111-111,1604.824
2024-07-10,04:00,333-333-333,1587.641
2024-07-10,04:00,666-666-666,1570.281
2024-07-10,04:30,111-111-111,1605.237
2024-07-10,04:30,333-333-333,1588.263
2024-07-10,04:30,666-666-666,1570.791
2024-07-10,05:00,111-111-111,1605.472
2024-07-10,05:00,333-333-333,1588.486
2024-07-10,05:00,666-666-666,1571.506
2024-07-10,05:30,111-111-111,1605.865
2024-07-10,05:30,333-333-333,1588.605
2024-07-10,05:30,666-666-666,1571.674
2024-07-10,06:00,111-111-111,1606.334
2024-07-10,06:00,333-333-333,1588.925
2024-07-10,06:00,666-666-666,1571.828
2024-07-10,06:30,111-111-111,1606.989
2024-07-10,06:30,333-333-333,1589.055
2024-07-10,06:30,666-666-666,1572.377
2024-07-10,07:00,111-111-111,1607.85
2024-07-10,07:00,333-333-333,1589.719
2024-07-10,07:00,666-666-666,1572.597
2024-07-10,07:30,111-111-111,1608.601
2024-07-10,07:30,333-333-333,1590.576
2024-07-10,07:30,666-666-666,1573.095
2024-07-10,08:00,111-111-111,1609.206
2024-07-10,08:00,333-333-333,1591.373
2024-07-10,08:00,666-666-666,1573.765
2024-07-10,08:30,111-111-111,1610.033
2024-07-10,08:30,333-333-333,1591.894
2024-07-10,08:30,666-666-666,1574.555
2024-07-10,09:00,111-111-111,1610.32
2024-07-10,09:00,333-333-333,1592.331
2024-07-10,09:00,666-666-666,1575.183
2024-07-10,09:30,111-111-111,1610.515
2024-07-10,09:30,333-333-333,1592.828
2024-07-10,09:30,666-666-666,1575.509
2024-07-10,10:00,111-111-111,1610.801
2024-07-10,10:00,333-333-333,1593.475
2024-07-10,10:00,666-666-666,1575.711
2024-07-10,10:30,111-111-111,1611.109
2024-07-10,10:30,333-333-333,1593.635
2024-07-10,10:30,666-666-666,1575.746
2024-07-10,11:00,111-111-111,1611.531
2024-07-10,11:00,333-333-333,1594.291
2024-07-10,11:00,666-666-666,1576.049
2024-07-10,11:30,111-111-111,1611.668
2024-07-10,11:30,333-333-333,1594.694
2024-07-10,11:30,666-666-666,1576.718
2024-07-10,12:00,111-111-111,1612.219
2024-07-10,12:00,333-333-333,1594.99
2024-07-10,12:00,666-666-666,1576.82
2024-07-10,12:30,111-111-111,1613.214
2024-07-10,12:30,333-333-333,1595.131
2024-07-10,12:30,666-666-666,1576.869
2024-07-10,13:00,111-111-111,1613.749
2024-07-10,13:00,333-333-333,1595.797
2024-07-10,13:00,666-666-666,1577.373
2024-07-10,13:30,111-111-111,1614.126
2024-07-10,13:30,333-333-333,1596.294
2024-07-10,13:30,666-666-666,1577.87
2024-07-10,14:00,111-111-111,1614.173
2024-07-10,14:00,333-333-333,1596.966
2024-07-10,14:00,666-666-666,1578.684
2024-07-10,14:30,111-111-111,1614.866
2024-07-10,14:30,333-333-333,1597.153
2024-07-10,14:30,666-666-666,1579.654
2024-07-10,15:00,111-111-111,1615.453
2024-07-10,15:00,333-333-333,1597.31
2024-07-10,15:00,666-666-666,1580.412
2024-07-10,15:30,111-111-111,1615.823
2024-07-10,15:30,333-333-333,1598.221
2024-07-10,15:30,666-666-666,1581.347
2024-07-10,16:00,111-111-111,1616.726
2024-07-10,16:00,333-333-333,1598.349
2024-07-10,16:00,666-666-666,1581.952
2024-07-10,16:30,111-111-111,1617.394
2024-07-10,16:30,333-333-333,1598.911
2024-07-10,16:30,666-666-666,1582.294
2024-07-10,17:00,111-111-111,1617.86
2024-07-10,17:00,333-333-333,1599.52
2024-07-10,17:00,666-666-666,1582.707
2024-07-10,17:30,111-111-111,1617.951
2024-07-10,17:30,333-333-333,1599.84
2024-07-10,17:30,666-666-666,1583.28
2024-07-10,18:00,111-111-111,1618.665
2024-07-10,18:00,333-333-333,1599.992
2024-07-10,18:00,666-666-666,1584.254
2024-07-10,18:30,111-111-111,1619.429
2024-07-10,18:30,333-333-333,1600.981
2024-07-10,18:30,666-666-666,1584.954
2024-07-10,19:00,111-111-111,1619.885
2024-07-10,19:00,333-333-333,1601.886
2024-07-10,19:00,666-666-666,1585.477
2024-07-10,19:30,111-111-111,1620.072
2024-07-10,19:30,333-333-333,1602.138
2024-07-10,19:30,666-666-666,1586.25
2024-07-10,20:00,111-111-111,1620.952
2024-07-10,20:00,333-333-333,1602.186
2024-07-10,20:00,666-666-666,1587.075
2024-07-10,20:30,111-111-111,1621.612
2024-07-10,20:30,333-333-333,1602.306
2024-07-10,20:30,666-666-666,1587.412
2024-07-10,21:00,111-111-111,1622.401
2024-07-10,21:00,333-333-333,1603.069
2024-07-10,21:00,666-666-666,1588.244
2024-07-10,21:30,111-111-111,1622.704
2024-07-10,21:30,333-333-333,1603.991
2024-07-10,21:30,666-666-666,1588.959
2024-07-10,22:00,111-111-111,1622.841
2024-07-10,22:00,333-333-333,1604.097
2024-07-10,22:00,666-666-666,1589.553
2024-07-10,22:30,111-111-111,1623.688
2024-07-10,22:30,333-333-333,1604.263
2024-07-10,22:30,666-666-666,1589.853
2024-07-10,23:00,111-111-111,1624.018
2024-07-10,23:00,333-333-333,1605.068
2024-07-10,23:00,666-666-666,1590.337
2024-07-10,23:30,111-111-111,1624.278
2024-07-10,23:30,333-333-333,1605.515
2024-07-10,23:30,666-666-666,1591.095
